,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,language,processed_text,words_count
171215,6uwo81wn,d310f1ddc93bd3e06a70aaa90e762f99bf6407cf,Medline; PMC,BTK/ITK dual inhibitors: Modulating immunopathology and lymphopenia for COVID‐19 therapy,10.1002/jlb.5covr0620-306r,PMC7361550,32640487,no-cc,"Bruton's tyrosine kinase (BTK) signaling is involved in innate immune responses and regulates the production of proinflammatory cytokines that can contribute to COVID‐19 immunopathology. Clinical trials with BTK inhibitors in COVID‐19 treatment have been proposed, and previous studies have attempted to investigate the therapeutic effects of ibrutinib and underlying mechanisms in treating viral pneumonia. These attempts, however, did not consider potential off target effect of BTK inhibitors on T cell differentiation, function, and survival, which may be beneficial in treatment for COVID‐19. Here, we summarize the current knowledge of BTK/IL‐2‐inducible T‐cell kinase (ITK) signaling in immunopathology and lymphopenia and discuss the potential of BTK/ITK dual inhibitors such as ibrutinib in modulating immunopathology and lymphopenia, for COVID‐19 therapy.",2020-07-08,"McGee, Michael C.; August, Avery; Huang, Weishan",J Leukoc Biol,,,,document_parses/pdf_json/d310f1ddc93bd3e06a70aaa90e762f99bf6407cf.json,document_parses/pmc_json/PMC7361550.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32640487/; https://doi.org/10.1002/jlb.5covr0620-306r,220429825.0,en,bruton tyrosine kinase btk signal involve innate immune response regulate production proinflammatory cytokine contribute covid‐19 immunopathology clinical trial btk inhibitor covid‐19 treatment propose previous study attempt investigate therapeutic effect ibrutinib underlie mechanism treat viral pneumonia attempt consider potential target effect btk inhibitor t cell differentiation function survival beneficial treatment covid‐19 summarize current knowledge btk/il‐2‐inducible t‐cell kinase itk signal immunopathology lymphopenia discuss potential btk/itk dual inhibitor ibrutinib modulate immunopathology lymphopenia covid‐19 therapy,71
240,i55gwn3s,0162b627476379a84d5a92480a881efdd3063f66,PMC,Avian Influenza Virus Glycoproteins Restrict Virus Replication and Spread through Human Airway Epithelium at Temperatures of the Proximal Airways,10.1371/journal.ppat.1000424,PMC2673688,19436701,cc0,"Transmission of avian influenza viruses from bird to human is a rare event even though avian influenza viruses infect the ciliated epithelium of human airways in vitro and ex vivo. Using an in vitro model of human ciliated airway epithelium (HAE), we demonstrate that while human and avian influenza viruses efficiently infect at temperatures of the human distal airways (37°C), avian, but not human, influenza viruses are restricted for infection at the cooler temperatures of the human proximal airways (32°C). These data support the hypothesis that avian influenza viruses, ordinarily adapted to the temperature of the avian enteric tract (40°C), rarely infect humans, in part due to differences in host airway regional temperatures. Previously, a critical residue at position 627 in the avian influenza virus polymerase subunit, PB2, was identified as conferring temperature-dependency in mammalian cells. Here, we use reverse genetics to show that avianization of residue 627 attenuates a human virus, but does not account for the different infection between 32°C and 37°C. To determine the mechanism of temperature restriction of avian influenza viruses in HAE at 32°C, we generated recombinant human influenza viruses in either the A/Victoria/3/75 (H3N2) or A/PR/8/34 (H1N1) genetic background that contained avian or avian-like glycoproteins. Two of these viruses, A/Victoria/3/75 with L226Q and S228G mutations in hemagglutinin (HA) and neuraminidase (NA) from A/Chick/Italy/1347/99 and A/PR/8/34 containing the H7 and N1 from A/Chick/Italy/1347/99, exhibited temperature restriction approaching that of wholly avian influenza viruses. These data suggest that influenza viruses bearing avian or avian-like surface glycoproteins have a reduced capacity to establish productive infection at the temperature of the human proximal airways. This temperature restriction may limit zoonotic transmission of avian influenza viruses and suggests that adaptation of avian influenza viruses to efficient infection at 32°C may represent a critical evolutionary step enabling human-to-human transmission.",2009-05-15,"Scull, Margaret A.; Gillim-Ross, Laura; Santos, Celia; Roberts, Kim L.; Bordonali, Elena; Subbarao, Kanta; Barclay, Wendy S.; Pickles, Raymond J.",PLoS Pathog,,,,document_parses/pdf_json/0162b627476379a84d5a92480a881efdd3063f66.json,document_parses/pmc_json/PMC2673688.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2673688/,,en,transmission avian influenza virus bird human rare event avian influenza virus infect ciliated epithelium human airway vitro ex vivo vitro model human ciliated airway epithelium hae demonstrate human avian influenza virus efficiently infect temperature human distal airway 37 ° c avian human influenza virus restrict infection cool temperature human proximal airway 32 ° c datum support hypothesis avian influenza virus ordinarily adapt temperature avian enteric tract 40 ° c rarely infect human difference host airway regional temperature previously critical residue position 627 avian influenza virus polymerase subunit pb2 identify confer temperature-dependency mammalian cell use reverse genetic avianization residue 627 attenuate human virus doe account different infection 32 ° c 37 ° c determine mechanism temperature restriction avian influenza virus hae 32 ° c generate recombinant human influenza virus a/victoria/3/75 h3n2 a/pr/8/34 h1n1 genetic background contain avian avian-like glycoprotein virus a/victoria/3/75 l226q s228 g mutation hemagglutinin ha neuraminidase na a/chick/italy/1347/99 a/pr/8/34 contain h7 n1 a/chick/italy/1347/99 exhibit temperature restriction approach wholly avian influenza virus datum suggest influenza virus bear avian avian-like surface glycoprotein reduce capacity establish productive infection temperature human proximal airway temperature restriction limit zoonotic transmission avian influenza virus suggest adaptation avian influenza virus efficient infection 32 ° c represent critical evolutionary step enable human-to-human transmission,205
183712,ervaxqph,de956c0a7887331b1d2d461bf81cd2f008a893d0,Medline; PMC,Status of Cellular Rather Than Humoral Immunity is Correlated with Clinical Outcome of Enterovirus 71,10.1203/01.pdr.0000238247.86041.19,PMC7086547,16940249,no-cc,"We valuated specific cellular and humoral immune response of cases of enterovirus 71 (EV71) infection and correlated immune response with clinical outcome. After obtaining informed consent, we enrolled 30 EV71 cases including 7 cases with brainstem encephalitis plus pulmonary edema, 12 cases of CNS (CNS) involvement and 11 uncomplicated cases. We measured antibodies specific to EV71, lymphocyte proliferation response and EV71-stimulated cellular response of Th1/Th2 cytokines and chemokines. The 7 EV71 cases involving brainstem encephalitis plus pulmonary edema had a significantly lower phytohemagglutinin stimulation index than other cases (p = 0.04). After EV71 stimulation of peripheral mononuclear cells, there was a significant increase in cellular Th1 cytokine (γ-interferon) and proinflammatroy cytokines. However, cases with pulmonary edema had significantly lower cellular γ-interferon (p = 0.04), lower cellular IL-1β (p = 0.04), lower cellular IL-6 (p = 0.04), lower cellular tumor necrosis factor-α response (p = 0.04), and lower cellular macrophage inflammatory protein-1α (p = 0.04) response compared with other cases. Their titers of EV71 neutralizing antibodies demonstrated no difference among cases. These results suggest lower EV71-specific cellular response may be associated with immunopathogenesis of EV71-related pulmonary edema.",2006,"Chang, Luan-Yin; Hsiung, Chao A; Lu, Chun-Yi; Lin, Tzou-Yien; Huang, Fu-Yuan; Lai, Yu-Han; Chiang, Yu-Ping; Chiang, Bor-Luen; Lee, Chin-Yun; Huang, Li-Min",Pediatr Res,,,,document_parses/pdf_json/de956c0a7887331b1d2d461bf81cd2f008a893d0.json,document_parses/pmc_json/PMC7086547.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/16940249/,24306936.0,en,valuated specific cellular humoral immune response case enterovirus 71 ev71 infection correlate immune response clinical outcome obtain inform consent enroll 30 ev71 case include 7 case brainstem encephalitis plus pulmonary edema 12 case cns cns involvement 11 uncomplicated case measure antibody specific ev71 lymphocyte proliferation response ev71-stimulated cellular response th1/th2 cytokine chemokine 7 ev71 case involve brainstem encephalitis plus pulmonary edema significantly low phytohemagglutinin stimulation index case p 0.04 ev71 stimulation peripheral mononuclear cell significant increase cellular th1 cytokine γ-interferon proinflammatroy cytokine case pulmonary edema significantly low cellular γ-interferon p 0.04 low cellular il-1β p 0.04 low cellular il-6 p 0.04 low cellular tumor necrosis factor-α response p 0.04 low cellular macrophage inflammatory protein-1α p 0.04 response compare case titer ev71 neutralize antibody demonstrate difference case result suggest low ev71-specific cellular response associate immunopathogenesis ev71-related pulmonary edema,137
16819,xetdmqvj,b66db251cc37c4d2a71936cd1c5ccad959757633,PMC,Acute Myeloid Leukemia: Epidemiology and Etiology,10.1007/978-3-540-72304-2_3,PMC7123906,,no-cc,"Although acute leukemias are infrequent diseases, they are highly malignant neoplasms responsible for a large number of cancer-related deaths. Acute myeloid leukemia (AML) is the most common type of leukemia in adults, yet continues to have the lowest survival rate of all leukemias. While results of treatment have improved steadily in younger adults over the past 20 years, there have been limited changes in survival among individuals of age >60 years [1, 2].",2008,"Deschler, Barbara; Lübbert, Michael",Acute Leukemias,,,,document_parses/pdf_json/b66db251cc37c4d2a71936cd1c5ccad959757633.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123906/,,en,acute leukemia infrequent disease highly malignant neoplasm responsible large numb cancer-related death acute myeloid leukemia aml common type leukemia adult continue low survival rate leukemia result treatment improve steadily young adult past 20 year limit change survival individual age 60 year 1 2,43
171853,gmkh0pxr,f536d6edc41c842d17f0add8483ee891d76bddb7,Medline; PMC,Ebola hemorrhagic fever: Properties of the pathogen and development of vaccines and chemotherapeutic agents,10.1134/s002689331504007x,PMC7089462,32214474,no-cc,"Ebola hemorrhagic fever (EHF) epidemic currently ongoing in West Africa is not the first among numerous epidemics in the continent. Yet it seems to be the worst EHF epidemic outbreak caused by Ebola virus Zaire since 1976 as regards its extremely large scale and rapid spread in the population. Experiments to study the agent have continued for more than 20 years. The EHF virus has a relatively simple genome with seven genes and additional reading frame resulting from RNA editing. While being of a relatively low genetic capacity, the virus can be ranked as a standard for pathogenicity with the ability to evade the host immune response in uttermost perfection. The EHF virus has similarities with retroviruses, but belongs to (–)RNA viruses of a nonretroviral origin. Genetic elements of the virus, NIRV, were detected in animal and human genomes. EHF virus glycoprotein (GP) is a class I fusion protein and shows more similarities than distinctions in tertiary structure with SIV and HIV gp41 proteins and even influenza virus hemagglutinin. EHF is an unusual infectious disease, and studying the molecular basis of its pathogenesis may contribute to new findings in therapy of severe conditions leading to a fatal outcome.",2015-08-14,"Kiselev, O. I.; Vasin, A. V.; Shevyryova, M. P.; Deeva, E. G.; Sivak, K. V.; Egorov, V. V.; Tsvetkov, V. B.; Egorov, A. Yu.; Romanovskaya-Romanko, E. A.; Stepanova, L. A.; Komissarov, A. B.; Tsybalova, L. M.; Ignatjev, G. M.",Mol Biol,,,,document_parses/pdf_json/f536d6edc41c842d17f0add8483ee891d76bddb7.json,,https://www.ncbi.nlm.nih.gov/pubmed/32214474/; https://doi.org/10.1134/s002689331504007x,17343798.0,en,ebola hemorrhagic fever ehf epidemic currently ongoing west africa ﻿1 numerous epidemic continent wrong ehf epidemic outbreak cause ebola virus zaire 1976 regard extremely large scale rapid spread population experiments study agent continue 20 year ehf virus relatively simple genome seven gene additional read frame result rna edit relatively low genetic capacity virus rank standard pathogenicity ability evade host immune response uttermost perfection ehf virus similarity retrovirus belong (–)rna virus nonretroviral origin genetic element virus nirv detect animal human genome ehf virus glycoprotein gp class fusion protein similarity distinction tertiary structure siv hiv gp41 protein influenza virus hemagglutinin ehf unusual infectious disease study molecular basis pathogenesis contribute new finding therapy severe condition lead fatal outcome,115
171236,ev7qv94b,6f176163cef915f36cdcb6ed5d99e497d0536c6d,PMC; WHO,"Frontline workers sound the alarm: be always sure you’re right, then go ahead",10.1093/pubmed/fdaa066,PMC7337852,x.doi.org/10.1093/pubmed/fdaa066,no-cc,"Amid personal protective equipment shortage, clinicians, nurses, and other frontline workers across the world have faced threatening and/or firing for self-protection during this coronavirus disease 2019 (COVID-19) pandemic. This perspective describes the different challenges that the stressed and overworked frontline workers encounter when they raise concerns despite being right. It also highlights the importance of communication and appropriate execution upon hearing those concerns.",2020-06-16,"Sfeir, Maroun M",J Public Health (Oxf),,#599276,,document_parses/pdf_json/6f176163cef915f36cdcb6ed5d99e497d0536c6d.json,document_parses/pmc_json/PMC7337852.xml.json,https://doi.org/10.1093/pubmed/fdaa066,220403708.0,en,amid personal protective equipment shortage clinician nurse frontline worker world face threaten and/or fire self-protection coronavirus disease 2019 covid-19 pandemic perspective describe different challenge stress overwork frontline worker encounter raise concern despite right highlight importance communication appropriate execution hear concern,40
183828,j6h02ab5,09fa2a6ff85a661d18b26b9c77cdc04a0f6e904d,Medline; PMC,Neurological involvement of coronavirus disease 2019: a systematic review,10.1007/s00415-020-09990-2,PMC7304377,32561990,no-cc,"BACKGROUND: In December 2019, unexplained cases of pneumonia emerged in Wuhan, China, which were found to be secondary to the novel coronavirus SARS-CoV-2. On March 11, 2020, the WHO declared the Coronavirus Disease 2019 (COVID-2019) outbreak, a pandemic. OBJECTIVE: To clarify the neurological complications of SARS-CoV-2 infection including the potential mechanisms and therapeutic options. METHODS: We conducted a systematic literature search from December 01, 2019 to May 14, 2020 using multiple combinations of keywords from PubMed and Ovid Medline databases according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. We included articles with cases of COVID-19 where neurological involvement was evident. RESULTS: We were able to identify 82 cases of COVID-19 with neurological complications. The mean age was 62.3 years. 37.8% of the patients were women (n = 31). 48.8% of the patients (n = 40) had cerebrovascular insults, 28% (n = 23) had neuromuscular disorders, and 23% of the patients (n = 19) had encephalitis or encephalopathy. CONCLUSIONS: Neurological manifestations of COVID-19 are not rare, especially large vessel stroke, Guillain–Barre syndrome, and meningoencephalitis. Moving forward, further studies are needed to clarify the prevalence of the neurological complications of SARS-CoV-2 infection, investigate their biological backgrounds, and test treatment options. Physicians should be cautious not to overlook other neurological diagnoses that can mimic COVID-19 during the pandemic. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s00415-020-09990-2) contains supplementary material, which is available to authorized users.",2020-06-19,"Ghannam, Malik; Alshaer, Qasem; Al-Chalabi, Mustafa; Zakarna, Lara; Robertson, Jetter; Manousakis, Georgios",J Neurol,,,,document_parses/pdf_json/09fa2a6ff85a661d18b26b9c77cdc04a0f6e904d.json,document_parses/pmc_json/PMC7304377.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32561990/; https://doi.org/10.1007/s00415-020-09990-2,219936608.0,en,background december 2019 unexplained case pneumonia emerge wuhan china find secondary novel coronavirus sars-cov-2 march 11 2020 declare coronavirus disease 2019 covid-2019 outbreak pandemic clarify neurological complication sars-cov-2 infection include potential mechanism therapeutic option methods conduct systematic literature search december 01 2019 14 2020 use multiple combination keyword pubmed ovid medline database accord preferred reporting items systematic reviews meta-analyses guideline include article case covid-19 neurological involvement evident results able identify 82 case covid-19 neurological complication mean age 62.3 year 37.8 patient woman n 31 48.8 patient n 40 cerebrovascular insult 28 n 23 neuromuscular disorder 23 patient n 19 encephalitis encephalopathy conclusions neurological manifestation covid-19 rare especially large vessel stroke guillain – barre syndrome meningoencephalitis moving forward far study need clarify prevalence neurological complication sars-cov-2 infection investigate biological background test treatment option physicians cautious overlook neurological diagnosis mimic covid-19 pandemic electronic supplementary material online version article 10.1007/s00415 020 09990 2 contain supplementary material available authorize user,156
2798,r42ezz4d,c3411ca577f8a7a81a4bc8a3caff019243d75af9,PMC,Highly diverse and antimicrobial susceptible Escherichia coli display a naïve bacterial population in fruit bats from the Republic of Congo,10.1371/journal.pone.0178146,PMC5507484,28700648,cc-by,"Bats are suspected to be a reservoir of several bacterial and viral pathogens relevant to animal and human health, but studies on Escherichia coli in these animals are sparse. We investigated the presence of E. coli in tissue samples (liver, lung and intestines) collected from 50 fruit bats of five different species (Eidolon helvum, Epomops franqueti, Hypsignathus monstrosus, Myonycteris torquata, Rousettus aegyptiacus) of two different areas in the Republic of Congo between 2009 and 2010. To assess E. coli pathotypes and phylogenetic relationships, we determined the presence of 59 virulence associated genes and multilocus sequence types (STs). Isolates were further tested for their susceptibility to several antimicrobial substances by agar disk diffusion test and for the presence of an Extended-Spectrum Beta-Lactamase phenotype. E. coli was detected in 60% of the bats analysed. The diversity of E. coli strains was very high, with 37 different STs within 40 isolates. Occasionally, we detected sequence types (e.g. ST69, ST127, and ST131) and pathotypes (e.g. ExPEC, EPEC and atypical EPEC), which are known pathogens in human and/or animal infections. Although the majority of strains were assigned to phylogenetic group B2 (46.2%), which is linked with the ExPEC pathovar, occurrence of virulence-associated genes in these strains were unexpectedly low. Due to this, and as only few of the E. coli isolates showed intermediate resistance to certain antimicrobial substances, we assume a rather naïve E. coli population, lacking contact to humans or domestic animals. Future studies featuring in depth comparative whole genome sequence analyses will provide insights into the microevolution of this interesting strain collection.",2017-07-12,"Nowak, Kathrin; Fahr, Jakob; Weber, Natalie; Lübke-Becker, Antina; Semmler, Torsten; Weiss, Sabrina; Mombouli, Jean-Vivien; Wieler, Lothar H.; Guenther, Sebastian; Leendertz, Fabian H.; Ewers, Christa",PLoS One,,,,document_parses/pdf_json/c3411ca577f8a7a81a4bc8a3caff019243d75af9.json,document_parses/pmc_json/PMC5507484.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5507484/,,en,bats suspect reservoir bacterial viral pathogen relevant animal human health study escherichia coli animal sparse investigate presence e. coli tissue sample live lung intestine collect 50 fruit bat different species eidolon helvum epomops franqueti hypsignathus monstrosus myonycteris torquata rousettus aegyptiacus different area republic congo 2009 2010 assess e. coli pathotypes phylogenetic relationship determine presence 59 virulence associate gene multilocus sequence type st isolates far test susceptibility antimicrobial substance agar disk diffusion test presence extended-spectrum beta-lactamase phenotype e. coli detect 60 bat analyse diversity e. coli strain high 37 different st 40 isolate occasionally detect sequence type e.g. st69 st127 st131 pathotypes e.g. expec epec atypical epec know pathogen human and/or animal infection majority strain assign phylogenetic group b2 46.2 link expec pathovar occurrence virulence-associated gene strain unexpectedly low e. coli isolate intermediate resistance certain antimicrobial substance assume naïve e. coli population lack contact human domestic animal future study feature depth comparative genome sequence analysis provide insight microevolution interest strain collection,160
8047,ihemxcma,31c97f9ca9f16ef07cecf679730b09f88bb69c96,PMC,"Nuclear Morphometry, Epigenetic Changes, and Clinical Relevance in Prostate Cancer",10.1007/978-1-4899-8032-8_4,PMC7123969,24563344,no-cc,"Nuclear structure alterations in cancer involve global genetic (mutations, amplifications, copy number variations, translocations, etc.) and epigenetic (DNA methylation and histone modifications) events that dramatically and dynamically spatially change chromatin, nuclear body, and chromosome organization. In prostate cancer (CaP) there appears to be early (<50 years) versus late (>60 years) onset clinically significant cancers, and we have yet to clearly understand the hereditary and somatic-based molecular pathways involved. We do know that once cancer is initiated, dedifferentiation of the prostate gland occurs with significant changes in nuclear structure driven by numerous genetic and epigenetic processes. This review focuses upon the nuclear architecture and epigenetic dynamics with potential translational clinically relevant applications to CaP. Further, the review correlates changes in the cancer-driven epigenetic process at the molecular level and correlates these alterations to nuclear morphological quantitative measurements. Finally, we address how we can best utilize this knowledge to improve the efficacy of personalized treatment of cancer.",2013-11-25,"Veltri, Robert W.; Christudass, Christhunesa S.",Cancer Biology and the Nuclear Envelope,,,,document_parses/pdf_json/31c97f9ca9f16ef07cecf679730b09f88bb69c96.json,document_parses/pmc_json/PMC7123969.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123969/,,en,nuclear structure alteration cancer involve global genetic mutation amplification copy numb variation translocation etc epigenetic dna methylation histone modification event dramatically dynamically spatially change chromatin nuclear body chromosome organization prostate cancer cap appear early 50 year versus late 60 year onset clinically significant cancer clearly understand hereditary somatic-based molecular pathway involve know cancer initiate dedifferentiation prostate gland occur significant change nuclear structure drive numerous genetic epigenetic process review focus nuclear architecture epigenetic dynamic potential translational clinically relevant application cap. review correlate change cancer-driven epigenetic process molecular level correlate alteration nuclear morphological quantitative measurement finally address utilize knowledge improve efficacy personalize treatment cancer,102
42199,rv794pij,,Medline,CXCL10/CXCR3-mediated responses promote immunity to respiratory syncytial virus infection by augmenting dendritic cell and CD8(+) T cell efficacy.,10.1002/eji.200838155,,18624292,unk,"The induction of inflammatory cytokines during respiratory viral infections contributes to both disease pathogenesis and resolution. The present studies investigated the role of the chemokine CXCL10 and its specific receptor, CXCR3, in the host response to pulmonary respiratory syncytial virus (RSV) infection. Antibody-mediated neutralization of CXCL10 resulted in a significant increase in disease pathogenesis, including airway hyperresponsiveness (AHR), mucus gene expression, and impaired viral clearance. When the pulmonary cytokine levels were examined, only type I IFN and IL-12p70 were significantly reduced. These latter observations were reflected in reduced dendritic cell (DC) numbers and DC maturation in the lungs of RSV-infected mice treated with anti-CXCL10. Neutralization of the only known receptor for CXCL10, CXCR3, resulted in similar increases in pathogenic responses. When bone marrow-derived DC were incubated with CXCL10 and RSV, an up-regulation of type I IFN was observed. In addition, T lymphocytes were also examined and a significant decrease in the number of RSV M2 peptide-specific CD8(+) T cells was identified. These findings highlight a previously unappreciated role for the CXCL10:CXCR3 signaling axis in RSV-infected animals by recruiting virus-specific T cells into the lung and promoting viral clearance.",2008,"Lindell, Dennis M; Lane, Thomas E; Lukacs, Nicholas W",European journal of immunology,,,,,,https://doi.org/10.1002/eji.200838155; https://www.ncbi.nlm.nih.gov/pubmed/18624292/,27520081.0,en,induction inflammatory cytokine respiratory viral infection contribute disease pathogenesis resolution present study investigate role chemokine cxcl10 specific receptor cxcr3 host response pulmonary respiratory syncytial virus rsv infection antibody-mediated neutralization cxcl10 result significant increase disease pathogenesis include airway hyperresponsiveness ahr mucus gene expression impair viral clearance pulmonary cytokine level examine type ifn il-12p70 significantly reduce observation reflect reduce dendritic cell dc number dc maturation lung rsv-infected mouse treat anti-cxcl10 neutralization know receptor cxcl10 cxcr3 result similar increase pathogenic response bone marrow-derived dc incubate cxcl10 rsv up-regulation type ifn observe addition t lymphocyte examine significant decrease numb rsv m2 peptide-specific cd8(+ t cell identify finding highlight previously unappreciated role cxcl10:cxcr3 signal axis rsv-infected animal recruit virus-specific t cell lung promote viral clearance,120
62512,dcbsr8sv,,Medline,Hepatitis C virus induces CD81 and claudin-1 endocytosis.,10.1128/jvi.06996-11,,22318146,unk,"Hepatitis C virus (HCV) leads to progressive liver disease and hepatocellular carcinoma. Current treatments are only partially effective, and new therapies targeting viral and host pathways are required. Virus entry into a host cell provides a conserved target for therapeutic intervention. Tetraspanin CD81, scavenger receptor class B member I, and the tight-junction proteins claudin-1 and occludin have been identified as essential entry receptors. Limited information is available on the role of receptor trafficking in HCV entry. We demonstrate here that anti-CD81 antibodies inhibit HCV infection at late times after virus internalization, suggesting a role for intracellular CD81 in HCV infection. Several tetraspanins have been reported to internalize via motifs in their C-terminal cytoplasmic domains; however, CD81 lacks such motifs, leading several laboratories to suggest a limited role for CD81 endocytosis in HCV entry. We demonstrate CD81 internalization via a clathrin- and dynamin-dependent process, independent of its cytoplasmic domain, suggesting a role for associated partner proteins in regulating CD81 trafficking. Live cell imaging demonstrates CD81 and claudin-1 coendocytosis and fusion with Rab5 expressing endosomes, supporting a role for this receptor complex in HCV internalization. Receptor-specific antibodies and HCV particles increase CD81 and claudin-1 endocytosis, supporting a model wherein HCV stimulates receptor trafficking to promote particle internalization.",2012,"Farquhar, Michelle J; Hu, Ke; Harris, Helen J; Davis, Christopher; Brimacombe, Claire L; Fletcher, Sarah J; Baumert, Thomas F; Rappoport, Joshua Z; Balfe, Peter; McKeating, Jane A",Journal of virology,,,,,,https://doi.org/10.1128/jvi.06996-11; https://www.ncbi.nlm.nih.gov/pubmed/22318146/,206819569.0,en,hepatitis c virus hcv lead progressive live disease hepatocellular carcinoma current treatment partially effective new therapy target viral host pathway require virus entry host cell provide conserve target therapeutic intervention tetraspanin cd81 scavenger receptor class b member tight-junction protein claudin-1 occludin identify essential entry receptor limited information available role receptor traffic hcv entry demonstrate anti-cd81 antibody inhibit hcv infection late time virus internalization suggest role intracellular cd81 hcv infection tetraspanin report internalize motif c-terminal cytoplasmic domain cd81 lack motif lead laboratory suggest limit role cd81 endocytosis hcv entry demonstrate cd81 internalization clathrin- dynamin-dependent process independent cytoplasmic domain suggest role associate partner protein regulate cd81 traffic live cell image demonstrate cd81 claudin-1 coendocytosis fusion rab5 express endosomes support role receptor complex hcv internalization receptor-specific antibody hcv particle increase cd81 claudin-1 endocytosis support model hcv stimulate receptor traffic promote particle internalization,139
154876,30ou25gw,3016832c6023eca62cf33b6b90d2b29ce721a0a7,Elsevier; Medline; PMC,Molecular and antigenic characterization of bovine Coronavirus circulating in Argentinean cattle during 1994–2010,10.1016/j.vetmic.2015.10.017,PMC7185509,26520931,no-cc,"Bovine coronavirus (BCoV) is an important viral pathogen associated with neonatal calf diarrhea. Our aim was to investigate the incidence of BCoV in diarrhea outbreaks in beef and dairy herds from Argentina during 1994–2010. A total of 5.365 fecal samples from diarrheic calves were screened for BCoV diagnosis by ELISA. The virus was detected in 1.71% (92/5365) of the samples corresponding to 5.95% (63/1058) of the diarrhea cases in 239 beef and 324 dairy farms. The detection rate of BCoV was significantly higher in dairy than in beef herds: 12.13% (29/239) vs. 4.32% (14/324) respectively. Phylogenetic analysis of the hypervariable S1 region of seven representative samples (from different husbandry systems, farm locations and years of sampling) indicated that BCoV strains circulating in Argentinean beef and dairy herds formed a cluster distinct from other geographical regions. Interestingly, Argentinean strains are distantly related (at both the nucleotide and amino acid levels) with the Mebus historic reference BCoV strain included in the vaccines currently available in Argentina. However, Mebus-induced antibodies were capable of neutralizing the BCoV Arg95, a field strain adapted to grow in vitro, and vice versa, indicating that both strains belong to the same CoV serotype reported in cattle. This work represents the first large survey describing BCoV circulation in Argentinean cattle.",2015-12-31,"Bok, M.; Miño, S.; Rodriguez, D.; Badaracco, A.; Nuñes, I.; Souza, S.P.; Bilbao, G.; Louge Uriarte, E.; Galarza, R.; Vega, C.; Odeon, A.; Saif, L.J.; Parreño, V.",Vet Microbiol,,,,document_parses/pdf_json/3016832c6023eca62cf33b6b90d2b29ce721a0a7.json,document_parses/pmc_json/PMC7185509.xml.json,https://www.sciencedirect.com/science/article/pii/S0378113515300523; https://doi.org/10.1016/j.vetmic.2015.10.017; https://api.elsevier.com/content/article/pii/S0378113515300523; https://www.ncbi.nlm.nih.gov/pubmed/26520931/,22163912.0,en,bovine coronavirus bcov important viral pathogen associate neonatal calf diarrhea aim investigate incidence bcov diarrhea outbreak beef dairy herd argentina 1994–2010 total 5.365 fecal sample diarrheic calve screen bcov diagnosis elisa virus detect 1.71 92/5365 sample correspond 5.95 63/1058 diarrhea case 239 beef 324 dairy farm detection rate bcov significantly high dairy beef herd 12.13 29/239 vs. 4.32 14/324 respectively phylogenetic analysis hypervariable s1 region seven representative sample different husbandry system farm location year sample indicate bcov strain circulate argentinean beef dairy herd form cluster distinct geographical region interestingly argentinean strain distantly relate nucleotide amino acid level mebus historic reference bcov strain include vaccine currently available argentina mebus-induced antibody capable neutralize bcov arg95 field strain adapt grow vitro vice versa indicate strain belong cov serotype report cattle work represent ﻿1 large survey describe bcov circulation argentinean cattle,137
